n,平凡算法 (ms),cache优化算法 (ms)
100,33.2773,32.3927
200,135.499,128.34
300,291.897,286.02
400,735.631,726.1
500,1481.24,1306.53
600,2339.08,1879.84
700,5769.18,5030.25
800,6978.31,5729.02
900,10810.9,9071.17
1000,12920.6,11347.0
